What is the main topic of Chapter 5 in "Corporate Computer Security, Fifth Edition" by Randall J. Boyle and Raymond R. Panko?|Access Control.|Cybersecurity, Access Control, Chapter Overview|5-1
In the security lifecycle model presented (Plan, Protect, Respond), which phase includes Access Control?|Access Control is part of the "Protect" phase.|Security Lifecycle, Protect Phase, Access Control|Fig on p. 5-2
What is the overall goal of corporate computer security regarding access?|Firms must limit access to physical and electronic resources.|Access Control, Security Goal|5-5
How is access control generally managed within an organization?|Access control is the policy-driven control of access to systems, data, and dialogues.|Access Control, Policy, Management|5-5
Do access control tools use cryptography?|Yes, many access control tools use cryptography to some extent, but cryptography is only part of what they do and how they work.|Access Control, Cryptography|5-5
What is learning objective 5.1?|Define basic access control terminology.|Learning Objective, Access Control, Terminology|5-3
What is learning objective 5.2?|Describe physical building and computer security.|Learning Objective, Physical Security, Computer Security|5-3
What is learning objective 5.3?|Explain reusable passwords.|Learning Objective, Passwords, Reusable Passwords|5-3
What is learning objective 5.4?|Explain how access cards and tokens work.|Learning Objective, Access Cards, Tokens|5-3
What is learning objective 5.5?|Describe biometric authentication, including verification and identification.|Learning Objective, Biometrics, Authentication, Verification, Identification|5-3
What is learning objective 5.6?|Explain how PKI provides cryptographic authentication.|Learning Objective, PKI, Cryptographic Authentication|5-3
What is learning objective 5.7?|Explain authorizations.|Learning Objective, Authorization|5-4
What is learning objective 5.8?|Explain auditing.|Learning Objective, Auditing|5-4
What is learning objective 5.9?|Describe how central authentication servers work.|Learning Objective, Central Authentication, Servers|5-4
What is learning objective 5.10?|Describe how directory servers work.|Learning Objective, Directory Servers|5-4
What is learning objective 5.11?|Define full identity management.|Learning Objective, Identity Management|5-4
What are the three "AAA" Protections in access control?|Authentication, Authorization, and Auditing.|AAA, Access Control, Security|5-6
What is Authentication in AAA Protections?|Authentication is the process where a supplicant (user or system trying to access resources) sends credentials to a verifier to prove their identity.|AAA, Authentication, Credentials|5-6
What is Authorization in AAA Protections?|Authorization determines what permissions an authenticated user will have.|AAA, Authorization, Permissions|5-6
What is Auditing in AAA Protections?|Auditing involves recording what people do in log files.|AAA, Auditing, Logging|5-6
